file_name,transcription,p_scores
000010011.WAV,W IY K AO L IH T B EH R,2.0 2.0 2.0 1.8 1.8 2.0 2.0 2.0 1.0 1.0
000010035.WAV,Z IH R OW TH R IY F AY V W AH N,2.0 1.4 1.4 2.0 1.2 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0
000010053.WAV,TH R IY T UW T UW S EH V N,1.8 2.0 2.0 2.0 1.8 2.0 1.8 2.0 2.0 2.0 2.0
000010063.WAV,EH L IH F AH N T S T AY G UW S,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000010069.WAV,T AA M G IH V Z AH P B AA K S IH NG,2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000010075.WAV,HH IY HH EY T S SH UW T IH NG,2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000010089.WAV,M AE N D IY HH AE Z AH B IH G AA R M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0
000010095.WAV,L UH K AE T AE N Z P AE N T S,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.4 2.0 2.0 2.0 1.8 1.8
000010106.WAV,W AH T AH B AW T DH AH B AH S,2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000010113.WAV,DH EH N HH IY W EH N T T UW TH IY M P AA R K,2.0 2.0 2.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.2 0.0 1.6 2.0 2.0 1.8 2.0
000010115.WAV,L EH T S G OW T UW DH AH R EH S T R UW M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8
000010121.WAV,DH EH N M AY K W AO K S T UW K AO F IY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.2 1.6 1.6
000010122.WAV,S OW M AE R IH W EH N T AA N T UW S T AH D IY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0
000010133.WAV,K EH T G AA T DH AH T AH M EY T OW,2.0 1.6 1.8 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 1.0 1.8 2.0
